Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1432,CWS_2005,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/CWS_2005
1433,dads_cookies,,Canada,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/dads_cookies
1434,daftFella,,Scotland,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/daftFella
1435,FinnyG,,England,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/FinnyG
1436,goosegoosegoose,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/goosegoosegoose
1437,GreenTractor77,,England,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/GreenTractor77
1438,ImBerto,,Spain,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/ImBerto
1439,Jacopswi,,France,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Jacopswi
1440,Jamjili,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Jamjili
1441,jutAxMAN,,Russia,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/jutAxMAN
1442,kalifguest22,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/kalifguest22
1443,KKOJJGSS,,India,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/KKOJJGSS
1444,KrazySickGamer,,England,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/KrazySickGamer
1445,LDAMAN,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/LDAMAN
1446,LeonD011,,Spain,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/LeonD011
1447,lisahaik,,Russia,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/lisahaik
1448,LPhantom,,Germany,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/LPhantom
1449,Mathiiias,,Germany,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Mathiiias
1450,MatthewGamingLive,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/MatthewGamingLive
1451,MciCarrandom,,Peru,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/MciCarrandom
1452,Michael124,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Michael124
1453,Mun_e,,Morocco,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Mun_e
1454,NightFalcon,,Austria,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/NightFalcon
1455,ntBagel,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/ntBagel
1456,OofDoof,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/OofDoof
1457,Otterstone_Gamer,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Otterstone_Gamer
1458,Paraxia,,Poland,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Paraxia
1459,Retronox,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Retronox
1460,Romxn,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Romxn
1461,Rubiss,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,
1462,SpupaSpeedrunner,,,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/SpupaSpeedrunner
1463,Srebrny,,Poland,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/Srebrny
1464,staticgerbilg2,,Australia,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/staticgerbilg2
1465,SWIPER4IK,,Belarus,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/SWIPER4IK
1466,the_xdude,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/the_xdude
1467,xxezrabxxx,,United States,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/xxezrabxxx
1468,ZenZenD,,France,70,62,8,0,1,1,1,0,0,0,0,10.19,352,https://www.speedrun.com/users/ZenZenD
1469,Game_Cuber,,United States,69.87,48.56,11.31,10,2,2,2,0,0,0,0,11.32,810.5,https://www.speedrun.com/users/Game_Cuber
1470,judogerudo,,United States,68.63,60.63,8,0,1,1,1,0,0,0,0,7.78,19,https://www.speedrun.com/users/judogerudo
1471,Steentsol,,United States,68.61,60.61,8,0,1,1,1,0,0,0,0,8.49,48,https://www.speedrun.com/users/Steentsol
1472,sau6son,,France,68.53,57.22,11.31,0,2,2,1,0,0,0,0,11.84,641,https://www.speedrun.com/users/sau6son
