Rank,Runner,Flag,Country,Total Score,Performance Score,Volume Bonus,Variety Bonus,Prolific Score,Unique Boards,Unique Games,WRs,Top 3s,Top 10s,Medal Score,Depth Score,Average Place,Profile
1,Niftski,,United States,9085.13,8972.14,62.99,50,62,54,6,39,55,60,297,606.82,2.66,https://www.speedrun.com/users/Niftski
2,GTAce,,United States,5789.39,5676.91,62.48,50,61,60,6,8,30,51,150,509.79,6.92,https://www.speedrun.com/users/GTAce
3,Mars02,,United States,4833.9,4712.35,71.55,50,80,79,6,16,40,62,207,464.95,13.98,https://www.speedrun.com/users/Mars02
4,Nebula_Composer,,United States,4076.76,4002.22,44.54,30,31,26,4,4,14,24,69,351.87,7.52,https://www.speedrun.com/users/Nebula_Composer
5,scalpel,,United States,4057.74,3970.61,57.13,30,51,50,4,24,43,48,217,317.43,2.73,https://www.speedrun.com/users/scalpel
6,RoyLT,,United States,3774.89,3658.92,65.97,50,68,68,6,3,15,43,85,408.4,15.09,https://www.speedrun.com/users/RoyLT
7,Kosmic,,United States,3671.04,3569.19,51.85,50,42,41,6,13,14,24,92,327.29,17.4,https://www.speedrun.com/users/Kosmic
8,TheRudyyy,,France,3548.1,3456.25,51.85,40,42,42,5,10,22,30,111,322.25,18.52,https://www.speedrun.com/users/TheRudyyy
9,jtknott,,United States,3402.08,3318.26,43.82,40,30,29,5,4,12,19,60,307.11,13.4,https://www.speedrun.com/users/jtknott
10,santicop,,Colombia,3305.92,3202.25,53.67,50,45,45,6,0,2,18,23,368.56,18.71,https://www.speedrun.com/users/santicop
11,JeremyMKW,,United States,3277.67,3191.02,46.65,40,34,32,5,1,7,22,42,323.06,14.5,https://www.speedrun.com/users/JeremyMKW
12,eddiecatgaming,,United States,3177.58,3099.21,38.37,40,23,23,5,1,8,18,41,278.09,11.52,https://www.speedrun.com/users/eddiecatgaming
13,Littlezombie,,China,3111.36,3022.04,49.32,40,38,31,5,3,6,14,35,306.91,18.68,https://www.speedrun.com/users/Littlezombie
14,AshSpeedruns1,,Philippines,3002.62,2922.62,40,40,25,25,5,4,5,12,35,283.67,16.28,https://www.speedrun.com/users/AshSpeedruns1
15,simplistic6502,,United States,2917.96,2820.63,47.33,50,35,34,6,1,6,14,32,302.88,18,https://www.speedrun.com/users/simplistic6502
16,ThePKing,,United States,2910.19,2790.45,69.74,50,76,76,6,1,7,36,53,370.69,24.66,https://www.speedrun.com/users/ThePKing
17,WarSB,,United States,2877.47,2805.14,42.33,30,28,28,4,5,10,19,55,265.46,11.46,https://www.speedrun.com/users/WarSB
18,Aryll,,Spain,2604.21,2531.88,42.33,30,28,26,4,3,5,15,34,257.17,16.07,https://www.speedrun.com/users/Aryll
19,jscarbo,,United States,2529.63,2463.85,35.78,30,20,20,4,2,5,10,28,239.24,21.35,https://www.speedrun.com/users/jscarbo
20,alexyweb,,Scotland,2442.12,2346.87,45.25,50,32,31,6,9,14,21,78,234.68,17.53,https://www.speedrun.com/users/alexyweb
21,goofychocobo,,United States,2307.88,2227.09,40.79,40,26,26,5,0,5,15,27,234.99,18.12,https://www.speedrun.com/users/goofychocobo
22,mammaru339,,Japan,2268.71,2179.92,58.79,30,54,51,4,0,1,22,25,289.51,33.04,https://www.speedrun.com/users/mammaru339
23,Miniland,,United Kingdom,2262.65,2197.78,34.87,30,19,19,4,1,3,11,20,216.15,14.16,https://www.speedrun.com/users/Miniland
24,sullyrox,,United States,2220.47,2153.81,36.66,30,21,18,4,0,4,9,19,222.71,20.14,https://www.speedrun.com/users/sullyrox
25,Spiker,,United States,2084,2019.13,34.87,30,19,14,4,0,2,4,9,218.66,24.11,https://www.speedrun.com/users/Spiker
26,Scrimsion,,United States,2072.99,2008.12,34.87,30,19,19,4,1,2,5,12,211.53,26.84,https://www.speedrun.com/users/Scrimsion
27,Saradoc,,Germany,2056.58,1983.5,43.08,30,29,29,4,0,4,13,21,221.39,25.52,https://www.speedrun.com/users/Saradoc
28,nuirapa,,Japan,2026.39,1964.06,42.33,20,28,24,3,1,1,1,6,228.29,31.71,https://www.speedrun.com/users/nuirapa
29,yelia64,,United States,1962.81,1915.29,37.52,10,22,22,2,2,2,6,16,196.14,37.95,https://www.speedrun.com/users/yelia64
30,Luppie,,France,1948.89,1848.93,49.96,50,39,38,6,0,0,7,7,240.82,38.85,https://www.speedrun.com/users/Luppie
31,LeKukie,,Brazil,1947.17,1898.33,28.84,20,13,13,3,3,5,6,27,165.31,24,https://www.speedrun.com/users/LeKukie
32,StickeredNolmy,,United States,1906.21,1853.23,32.98,20,17,17,3,0,3,4,11,195.18,29.65,https://www.speedrun.com/users/StickeredNolmy
33,Ribb95,,South Korea,1800.32,1715.78,44.54,40,31,31,5,0,1,14,16,210.48,36.55,https://www.speedrun.com/users/Ribb95
34,Nightmare101010,,United States,1722.94,1675.23,27.71,20,12,12,3,2,2,3,13,163.88,22.17,https://www.speedrun.com/users/Nightmare101010
35,DAI,,Japan,1674.19,1616.67,37.52,20,22,21,3,0,0,4,4,195.74,49.27,https://www.speedrun.com/users/DAI
36,ElementYT,,United States,1666.3,1607.46,28.84,30,13,13,4,0,1,7,9,164.99,13.38,https://www.speedrun.com/users/ElementYT
37,Lul_ecks_dee,,,1657.32,1615.32,32,10,16,16,2,0,0,7,7,173.73,67.25,https://www.speedrun.com/users/Lul_ecks_dee
38,Brandon_Lepetrie42,,Canada,1650.9,1576.96,33.94,40,18,18,5,0,1,4,7,176.73,20.89,https://www.speedrun.com/users/Brandon_Lepetrie42
39,korsu,,Germany,1638.98,1539.02,49.96,50,39,39,6,0,1,11,13,211.27,48.69,https://www.speedrun.com/users/korsu
40,xeroxfiend,,United States,1602.11,1502.79,49.32,50,38,38,6,0,0,7,7,214.59,49.66,https://www.speedrun.com/users/xeroxfiend
41,EthanRTA,,United States,1590.33,1516.39,33.94,40,18,18,5,0,1,7,10,168.87,31.56,https://www.speedrun.com/users/EthanRTA
42,stem_kuki,,Valhalla,1534.24,1500.24,24,10,9,9,2,1,2,5,12,140.98,14.33,https://www.speedrun.com/users/stem_kuki
43,Gaster319,,Philippines,1526.22,1492.22,24,10,9,9,2,2,2,5,15,137.69,33.89,https://www.speedrun.com/users/Gaster319
44,Happyzombie33,,China,1516.83,1451.96,34.87,30,19,19,4,0,0,0,0,179.63,59,https://www.speedrun.com/users/Happyzombie33
45,darbian,,United States,1497.11,1436.13,30.98,30,15,15,4,0,0,6,6,158.69,25.8,https://www.speedrun.com/users/darbian
46,vinzchillin,,United States,1481.79,1406.54,45.25,30,32,32,4,0,2,13,18,174.92,30.72,https://www.speedrun.com/users/vinzchillin
47,AndrewG,,United States,1476.93,1414.93,32,30,16,16,4,0,2,4,10,160.83,34.94,https://www.speedrun.com/users/AndrewG
48,Tanishy,,Japan,1471.59,1416.72,34.87,20,19,16,3,0,0,1,1,177.37,60.21,https://www.speedrun.com/users/Tanishy
49,iBall1,,Canada,1451.81,1392.97,28.84,30,13,11,4,0,1,2,5,155.22,43,https://www.speedrun.com/users/iBall1
50,ThaAwesome,,United States,1445.46,1405.53,29.93,10,14,14,2,0,0,1,1,164.16,51.71,https://www.speedrun.com/users/ThaAwesome
51,Losalex,,Sweden,1445.43,1397.72,27.71,20,12,12,3,0,0,0,0,157.69,43.42,https://www.speedrun.com/users/Losalex
52,Joshua69,,United States,1427.3,1373.3,24,30,9,9,4,1,1,4,9,132.19,15.78,https://www.speedrun.com/users/Joshua69
53,nerphblaster27,,United States,1399.94,1352.23,27.71,20,12,12,3,1,2,2,9,142.13,44.75,https://www.speedrun.com/users/nerphblaster27
54,Crazy_Gaming61,,Canada,1369.23,1296.15,43.08,30,29,29,4,0,0,3,3,173.21,58.59,https://www.speedrun.com/users/Crazy_Gaming61
55,Kzwbz,,China,1362.62,1317.32,25.3,20,10,9,3,1,2,4,11,130.81,41,https://www.speedrun.com/users/Kzwbz
56,somewes,,United States,1315.38,1268.85,26.53,20,11,10,3,0,0,3,3,136.6,18.82,https://www.speedrun.com/users/somewes
57,DJ___AJ,,United States,1293.27,1245.56,27.71,20,12,11,3,1,1,1,6,136.03,65.5,https://www.speedrun.com/users/DJ___AJ
58,EvanSMB1,,United States,1277.54,1231.01,26.53,20,11,11,3,0,2,2,8,132.54,29.18,https://www.speedrun.com/users/EvanSMB1
59,TheNoSwearGuy,,Canada,1273.74,1231.11,22.63,20,8,8,3,1,1,3,8,117.85,14.88,https://www.speedrun.com/users/TheNoSwearGuy
60,Magicallyy,,United States,1256.77,1203.79,32.98,20,17,17,3,0,2,5,9,143.12,52.59,https://www.speedrun.com/users/Magicallyy
61,AntimonySM51,,United States,1251.04,1201.11,29.93,20,14,14,3,0,0,1,1,146.06,56.93,https://www.speedrun.com/users/AntimonySM51
62,DaserByte,,Spain,1239.94,1201.1,28.84,10,13,12,2,0,0,1,1,140.92,58.08,https://www.speedrun.com/users/DaserByte
63,x0o0x_,,Antarctica,1227.83,1161.17,36.66,30,21,20,4,0,0,1,1,153.47,63.05,https://www.speedrun.com/users/x0o0x_
64,Aqwy,,Portugal,1226.72,1174.09,22.63,30,8,8,4,0,1,2,5,120.81,35.13,https://www.speedrun.com/users/Aqwy
65,darG,,Poland,1225.74,1179.21,26.53,20,11,11,3,0,0,0,0,140.1,72.27,https://www.speedrun.com/users/darG
66,KingOfJonnyBoy,,Canada,1213.15,1166.62,26.53,20,11,11,3,0,0,3,3,131.42,53.73,https://www.speedrun.com/users/KingOfJonnyBoy
67,LeonToast,,Germany,1198.46,1164.46,24,10,9,9,2,0,0,1,1,129.43,50.33,https://www.speedrun.com/users/LeonToast
68,SuperSonic,,United States,1195.64,1118.98,36.66,40,21,21,5,0,1,5,7,144.58,49.14,https://www.speedrun.com/users/SuperSonic
69,CyanBeast01,,Vietnam,1174.71,1137,27.71,10,12,12,2,0,0,1,1,134.03,62.25,https://www.speedrun.com/users/CyanBeast01
70,Phaton13,,Poland,1171.43,1123.72,27.71,20,12,12,3,0,0,4,4,130.79,55.17,https://www.speedrun.com/users/Phaton13
71,Kriller37,,United States,1158.85,1112.32,26.53,20,11,10,3,0,1,3,5,126.15,44.64,https://www.speedrun.com/users/Kriller37
72,snowyowo,,Russia,1158.15,1128.55,19.6,10,6,6,2,1,1,2,7,106.37,28.67,https://www.speedrun.com/users/snowyowo
73,makotoito,,China,1157.13,1101.35,35.78,20,20,20,3,0,0,1,1,146.09,64.5,https://www.speedrun.com/users/makotoito
74,averge11,,,1156.69,1127.09,19.6,10,6,6,2,1,3,5,15,93.09,6,https://www.speedrun.com/users/averge11
75,ScratchySpeedrunner,,United States,1145.24,1112.61,22.63,10,8,8,2,0,0,2,2,117.85,23.88,https://www.speedrun.com/users/ScratchySpeedrunner
76,Potapoo12,,Finland,1144.18,1097.65,26.53,20,11,11,3,0,0,1,1,130.46,90.09,https://www.speedrun.com/users/Potapoo12
77,AD2,,Australia,1129.34,1080.5,28.84,20,13,13,3,0,0,0,0,135.05,63.23,https://www.speedrun.com/users/AD2
78,roopert83,,United States,1120.46,1032.09,38.37,50,23,23,6,1,1,7,12,137.28,66.57,https://www.speedrun.com/users/roopert83
79,SoloQ,,United States,1093.97,1041.97,32,20,16,16,3,0,0,1,1,135.41,55.19,https://www.speedrun.com/users/SoloQ
80,Sluggy,,United Kingdom,1083.52,1023.59,29.93,30,14,14,4,0,0,3,3,127.91,70.93,https://www.speedrun.com/users/Sluggy
81,MatyMak,,,1072.93,1041.76,21.17,10,7,7,2,0,0,3,3,107.52,31.43,
82,KingKappa,,United States,1069.94,1034.64,25.3,10,10,10,2,0,0,0,0,120.87,47.6,https://www.speedrun.com/users/KingKappa
83,mrswaggins69,,,1068.95,1037.78,21.17,10,7,7,2,0,1,1,3,109.2,50.71,https://www.speedrun.com/users/mrswaggins69
84,smythe,,England,1061.05,1017.05,24,20,9,9,3,0,0,2,2,113.72,37.78,https://www.speedrun.com/users/smythe
85,Prasmus,,Canada,1059.69,974.82,34.87,50,19,19,6,0,1,3,6,131.12,70.63,https://www.speedrun.com/users/Prasmus
86,WolfAeterni,,Québec,1041.73,1004.02,27.71,10,12,12,2,0,0,1,1,124.78,79,https://www.speedrun.com/users/WolfAeterni
87,SuperMegaDav,,Québec,1038.01,955.68,42.33,40,28,28,5,0,0,2,2,138.9,47,https://www.speedrun.com/users/SuperMegaDav
88,Grimmwolf6711,,United States,1029.8,959.87,29.93,40,14,14,5,0,0,0,0,121.12,73.71,https://www.speedrun.com/users/Grimmwolf6711
89,Vicksland,,United States,1018.31,963.01,25.3,30,10,10,4,0,0,1,1,115.19,66.5,https://www.speedrun.com/users/Vicksland
90,ILikeRockets62,,United States,994.31,963.14,21.17,10,7,7,2,0,0,0,0,107.83,70.86,https://www.speedrun.com/users/ILikeRockets62
91,youtubeman06,,United States,980,943.47,26.53,10,11,11,2,0,0,1,1,112.23,50.36,https://www.speedrun.com/users/youtubeman06
92,Noodles08,,United States,974,930,24,20,9,9,3,0,0,0,0,112.3,96.67,https://www.speedrun.com/users/Noodles08
93,Thelxinoe,,United States,954.77,922.14,22.63,10,8,8,2,0,0,1,1,101.8,44.38,https://www.speedrun.com/users/Thelxinoe
94,DaniëlHarteveld,,Netherlands,939.86,882.15,27.71,30,12,12,4,0,0,0,0,118.19,110.92,https://www.speedrun.com/users/DanielHarteveld
95,samm_1703,,United States,937.53,906.36,21.17,10,7,7,2,0,0,1,1,100.1,50.29,https://www.speedrun.com/users/samm_1703
96,SmiithTV,,United States,920.37,877.74,22.63,20,8,8,3,0,0,0,0,102.74,64.88,https://www.speedrun.com/users/SmiithTV
97,StandBySilentWater,,United States,920.13,890.53,19.6,10,6,6,2,0,0,0,0,96.4,43.83,https://www.speedrun.com/users/StandBySilentWater
98,Marikh,,Germany,919.83,884.53,25.3,10,10,10,2,0,0,2,2,108.48,110.5,https://www.speedrun.com/users/Marikh
99,SigNastyTV,,United States,912.42,849.34,43.08,20,29,29,3,0,0,0,0,133.29,86.41,https://www.speedrun.com/users/SigNastyTV
100,raymondamantius,,United States,900.53,857.9,22.63,20,8,8,3,0,0,1,1,97.92,44.38,https://www.speedrun.com/users/raymondamantius
101,TheCrit,,United States,878.99,847.82,21.17,10,7,7,2,0,0,1,1,95.78,65,https://www.speedrun.com/users/TheCrit
102,ImDangerous20,,Antarctica,876.84,835.67,21.17,20,7,7,3,0,0,0,0,96.71,73.14,https://www.speedrun.com/users/ImDangerous20
103,tavenwebb2002,,United States,871.72,842.12,19.6,10,6,6,2,0,0,2,2,88.18,32.5,https://www.speedrun.com/users/tavenwebb2002
104,Validusername16,,,865.69,831.69,24,10,9,9,2,0,0,0,0,101.77,58.33,https://www.speedrun.com/users/Validusername16
105,GlitchYPbPr,,United States,864.07,811.44,22.63,30,8,8,4,0,0,2,2,93.04,44,https://www.speedrun.com/users/GlitchYPbPr
106,ramunesakusan,,Japan,857.19,814.56,22.63,20,8,8,3,0,0,2,2,92.29,37.75,https://www.speedrun.com/users/ramunesakusan
107,sunst3510,,Japan,853.96,794.03,29.93,30,14,14,4,1,1,3,8,101.5,41.29,https://www.speedrun.com/users/sunst3510
108,alabastro1,,Esperanto,853.52,813.92,19.6,20,6,6,3,0,0,2,2,86.31,43.67,https://www.speedrun.com/users/alabastro1
109,Mario104,,China,849.31,800.47,28.84,20,13,12,3,0,0,0,0,108.3,83.62,https://www.speedrun.com/users/Mario104
110,Giffi,,Finland,833.37,802.2,21.17,10,7,7,2,0,0,0,0,92.83,61,https://www.speedrun.com/users/Giffi
111,barnowl,,United States,830.56,739.34,51.22,40,41,41,5,0,2,10,16,133.78,70.78,https://www.speedrun.com/users/barnowl
112,Yoniyoni,,United States,828.86,796.23,22.63,10,8,8,2,0,0,0,0,96.18,71.5,https://www.speedrun.com/users/Yoniyoni
113,AGKactive,,China,824.48,794.88,19.6,10,6,6,2,0,0,0,0,86.7,62.83,https://www.speedrun.com/users/AGKactive
114,Jeffitus,,United States,824.2,784.6,19.6,20,6,6,3,0,0,0,0,91.33,103.67,https://www.speedrun.com/users/Jeffitus
115,donaldduck386,,Suriname,822.44,788.44,24,10,9,9,2,0,0,0,0,101.49,120,https://www.speedrun.com/users/donaldduck386
116,8BitPlumber,,United States,815.83,769.3,26.53,20,11,11,3,0,0,1,1,96.63,121.55,https://www.speedrun.com/users/8BitPlumber
117,NathanAlmighty,,United States,811.31,768.68,22.63,20,8,8,3,0,0,0,0,92.53,73,https://www.speedrun.com/users/NathanAlmighty
118,pensrock_12,,United States,797.49,769.6,17.89,10,5,5,2,0,0,0,0,83.43,46.4,https://www.speedrun.com/users/pensrock_12
119,k1ngk0opa,,Mexico,794.88,763.71,21.17,10,7,7,2,0,0,0,0,93.27,112.86,https://www.speedrun.com/users/k1ngk0opa
120,australian,,England,791.33,747.33,24,20,9,9,3,0,0,0,0,96.24,115.78,https://www.speedrun.com/users/australian
121,sweatypiranha,,Ireland,784.73,756.84,17.89,10,5,5,2,0,0,0,0,82.12,44.8,https://www.speedrun.com/users/sweatypiranha
122,Amberi8,,,778.21,750.32,17.89,10,5,5,2,0,1,1,4,75.11,33.8,https://www.speedrun.com/users/Amberi8
123,Carter44,,Canada,771.21,702.02,39.19,30,24,24,4,0,1,3,5,111.28,59.83,https://www.speedrun.com/users/Carter44
124,SkilletToast,,United States,769.35,726.72,22.63,20,8,8,3,0,0,2,2,87.04,85.38,https://www.speedrun.com/users/SkilletToast
125,SonicFerrari,,United States,763.75,735.86,17.89,10,5,5,2,0,1,2,4,73.82,18.4,https://www.speedrun.com/users/SonicFerrari
126,LK,,Japan,763.39,719.39,24,20,9,9,3,0,0,3,3,86.52,85.44,https://www.speedrun.com/users/LK
127,fliz01,,Philippines,752.44,691.46,30.98,30,15,15,4,0,0,0,0,101.64,135,https://www.speedrun.com/users/fliz01
128,Akrua,,United States,747.52,693.52,24,30,9,9,4,0,0,0,0,90.86,104.89,https://www.speedrun.com/users/Akrua
129,Xein64,,Germany,745.79,700.49,25.3,20,10,10,3,0,0,0,0,95.98,123.6,https://www.speedrun.com/users/Xein64
130,Bebert5014,,France,743.28,712.11,21.17,10,7,7,2,0,0,0,0,87.24,109.14,https://www.speedrun.com/users/Bebert5014
131,archnash1,,England,742.55,699.92,22.63,20,8,8,3,0,0,0,0,85.3,126.88,https://www.speedrun.com/users/archnash1
132,NintSiX_96,,China,741.76,704.05,27.71,10,12,10,2,0,0,0,0,92.19,113.58,https://www.speedrun.com/users/NintSiX_96
133,Tecate,,United States,740.88,696.88,24,20,9,8,3,0,0,1,1,86.85,106.89,https://www.speedrun.com/users/Tecate
134,MrBabbage,,United States,738.71,712.71,16,10,4,4,2,1,1,1,6,67.84,21.5,https://www.speedrun.com/users/MrBabbage
135,NawidNation,,Canada,737.97,708.37,19.6,10,6,6,2,0,0,0,0,85.35,124.5,https://www.speedrun.com/users/NawidNation
136,MasterEyad,,Lebanon,733.58,699.58,24,10,9,9,2,0,0,0,0,88.64,77.56,https://www.speedrun.com/users/MasterEyad
137,DinkleDangle,,United States,731.04,698.41,22.63,10,8,8,2,0,0,0,0,83.99,66.13,https://www.speedrun.com/users/DinkleDangle
138,NotThinkAnything,,Vietnam,730.8,701.2,19.6,10,6,6,2,0,0,0,0,84.3,116.5,https://www.speedrun.com/users/NotThinkAnything
139,LiamTrader,,,726.13,694.96,21.17,10,7,7,2,0,0,0,0,85.4,125.57,https://www.speedrun.com/users/LiamTrader
140,MyRougeYoshi,,England,708.66,680.77,17.89,10,5,5,2,0,0,0,0,78.34,106,https://www.speedrun.com/users/MyRougeYoshi
141,evad999,,United States,705.97,645.97,40,20,25,25,3,1,2,12,20,97.04,89,https://www.speedrun.com/users/evad999
142,FlamedemonSR,,Canada,704.03,674.43,19.6,10,6,6,2,0,0,0,0,81.7,111.33,https://www.speedrun.com/users/FlamedemonSR
143,joeth3br0,,United States,703.95,674.35,19.6,10,6,6,2,0,0,0,0,79.1,89,https://www.speedrun.com/users/joeth3br0
144,8bitlord64,,United States,700.48,672.59,17.89,10,5,5,2,0,0,0,0,75.05,63.4,https://www.speedrun.com/users/8bitlord64
145,pacoistaco459,,United States,697.99,662.69,25.3,10,10,10,2,0,0,1,1,88.3,104.5,https://www.speedrun.com/users/pacoistaco459
146,BLGHAReal,,United Kingdom,692.21,652.28,29.93,10,14,14,2,0,0,0,0,97.28,139.79,https://www.speedrun.com/users/BLGHAReal
147,Skeeter,,United States,688.33,644.33,24,20,9,9,3,0,0,0,0,88.11,167.44,https://www.speedrun.com/users/Skeeter
148,Tonmaiii,,Thailand,685.87,656.27,19.6,10,6,6,2,0,0,0,0,79.02,95,https://www.speedrun.com/users/Tonmaiii
149,lkai,,,682.76,653.16,19.6,10,6,6,2,0,0,0,0,79.57,128.83,https://www.speedrun.com/users/lkai
150,bhanxiao,,Taiwan,676.4,626.47,29.93,20,14,14,3,0,0,0,0,89.27,150.57,https://www.speedrun.com/users/bhanxiao
151,TheMightyGiantDad,,United States,673.41,643.81,19.6,10,6,4,2,0,0,1,1,72.5,44.67,https://www.speedrun.com/users/TheMightyGiantDad
152,lackattack,,United States,670.35,625.05,25.3,20,10,10,3,0,0,0,0,82.32,62.7,https://www.speedrun.com/users/lackattack
153,Allenbot,,Singapore,665.1,637.21,17.89,10,5,5,2,0,0,0,0,70.94,106,https://www.speedrun.com/users/Allenbot
154,zekeSSB,,United States,664.48,633.31,21.17,10,7,7,2,0,0,0,0,80.34,105.29,https://www.speedrun.com/users/zekeSSB
155,crasyfingers,,Canada,663.09,590.11,32.98,40,17,17,5,1,2,5,13,85.44,59.65,https://www.speedrun.com/users/crasyfingers
156,SteeleDude42,,United States,660.92,631.32,19.6,10,6,6,2,0,0,2,2,72.54,79.5,https://www.speedrun.com/users/SteeleDude42
157,BlamingSkill,,United States,654.57,628.57,16,10,4,4,2,0,0,0,0,70.23,110.5,https://www.speedrun.com/users/BlamingSkill
158,Windward6,,Finland,653.4,625.51,17.89,10,5,5,2,0,0,0,0,73.77,125.6,https://www.speedrun.com/users/Windward6
159,VeganSlayerGaming,,United States,652.91,625.02,17.89,10,5,5,2,0,0,0,0,72.31,174.8,https://www.speedrun.com/users/VeganSlayerGaming
160,Multibeast,,United States,650.18,606.18,24,20,9,9,3,0,0,0,0,81.22,93.44,https://www.speedrun.com/users/Multibeast
161,B1GEY3DPYTH0N,,,641.3,613.41,17.89,10,5,5,2,0,1,1,3,68.05,101.2,https://www.speedrun.com/users/B1GEY3DPYTH0N
162,HarrisonCheng,,United States,640.9,617.04,13.86,10,3,3,2,1,1,1,6,55.18,84.33,https://www.speedrun.com/users/HarrisonCheng
163,__RomChik__,,Russia,632.57,604.68,17.89,10,5,5,2,0,0,0,0,71.55,158.4,https://www.speedrun.com/users/__RomChik__
164,Avriix,,North Korea,629.58,591.87,27.71,10,12,12,2,0,0,0,0,83.19,139,https://www.speedrun.com/users/Avriix
165,Ghyuty17,,United States,627.12,551.34,35.78,40,20,20,5,0,1,2,5,90.17,125.15,https://www.speedrun.com/users/Ghyuty17
166,reshia,,Finland,626.09,600.09,16,10,4,4,2,0,0,1,1,64.79,80,https://www.speedrun.com/users/reshia
167,TleeBoy9000,,Canada,624.46,580.46,24,20,9,9,3,0,0,0,0,84.46,164.33,https://www.speedrun.com/users/TleeBoy9000
168,sweets,,United States,619.36,588.19,21.17,10,7,7,2,0,0,1,1,73.68,126.14,https://www.speedrun.com/users/sweets
169,NickySteingraber,,United States,617.62,540.1,37.52,40,22,22,5,0,0,0,0,99.02,131.18,https://www.speedrun.com/users/NickySteingraber
170,repuSoiraM,,United States,614.46,583.29,21.17,10,7,7,2,0,1,2,4,71.87,153,https://www.speedrun.com/users/repuSoiraM
171,burgerlands2,,United States,613.9,582.73,21.17,10,7,7,2,0,0,0,0,76.1,121.14,https://www.speedrun.com/users/burgerlands2
172,Mistermuffin,,United States,613.03,589.17,13.86,10,3,3,2,0,0,1,1,60.26,67.33,https://www.speedrun.com/users/Mistermuffin
173,Johny_Mandarino,,,611.1,547.28,43.82,20,30,30,3,0,1,6,8,95.43,75.27,https://www.speedrun.com/users/Johny_Mandarino
174,Quaxon_,,Australia,609.79,583.79,16,10,4,4,2,0,0,0,0,67.28,146.25,https://www.speedrun.com/users/Quaxon_
175,doctor_mustache,,United States,608.42,570.53,17.89,20,5,5,3,0,0,0,0,67.62,93.6,https://www.speedrun.com/users/doctor_mustache
176,osum,,United Kingdom,608.07,590.18,17.89,0,5,5,1,0,0,0,0,70.02,96.8,https://www.speedrun.com/users/osum
177,KH28,,Turkey,603.84,572.67,21.17,10,7,7,2,0,0,0,0,78.27,167.86,https://www.speedrun.com/users/KH28
178,Tree_05,,United States,602.75,578.89,13.86,10,3,3,2,0,0,2,2,57.19,13,https://www.speedrun.com/users/Tree_05
179,Pexxio,,Bulgaria,598.78,560.89,17.89,20,5,5,3,0,0,0,0,67.52,136,https://www.speedrun.com/users/Pexxio
180,rcd333,,United States,595.5,545.9,19.6,30,6,6,4,0,0,1,1,65.04,90.83,https://www.speedrun.com/users/rcd333
181,Run123er,,United States,594.62,565.02,19.6,10,6,6,2,0,0,0,0,72.27,159,https://www.speedrun.com/users/Run123er
182,TwisterCuber,,United States,591.19,563.3,17.89,10,5,5,2,0,0,0,0,69.71,159.2,https://www.speedrun.com/users/TwisterCuber
183,IeF,,South Korea,589.21,563.21,16,10,4,4,2,0,0,0,0,63.72,89.75,https://www.speedrun.com/users/IeF
184,Lolo_30,,Switzerland,582.97,543.37,19.6,20,6,6,3,0,0,1,1,69.31,155.33,https://www.speedrun.com/users/Lolo_30
185,RealTPV,,United States,582.32,541.15,21.17,20,7,7,3,0,0,0,0,72.46,133.86,https://www.speedrun.com/users/RealTPV
186,Fish_Noob,,Hong Kong,577.03,541.03,16,20,4,4,3,0,0,0,0,62.89,130,https://www.speedrun.com/users/Fish_Noob
187,Hasauce,,Canada,567.7,529.81,17.89,20,5,5,3,0,0,0,0,64.43,117,https://www.speedrun.com/users/Hasauce
188,Water_is_wet05,,United States,565.7,537.81,17.89,10,5,5,2,0,0,0,0,64.45,133.6,https://www.speedrun.com/users/Water_is_wet05
189,PMniac,,Portugal,560.7,509.53,21.17,30,7,7,4,0,0,2,2,62.73,70.57,https://www.speedrun.com/users/PMniac
190,Sadler,,Italy,548.91,531.02,17.89,0,5,5,1,0,0,0,0,65.58,133.6,https://www.speedrun.com/users/Sadler
191,TomasPlays,,Lithuania,545.97,509.97,16,20,4,4,3,0,0,0,0,59.51,96.5,https://www.speedrun.com/users/TomasPlays
192,stratsboneless,,United States,544.01,520.15,13.86,10,3,3,2,0,0,0,0,55.78,71,https://www.speedrun.com/users/stratsboneless
193,Mitsuthecat123,,United States,535.52,511.66,13.86,10,3,3,2,0,0,0,0,56.26,133.33,https://www.speedrun.com/users/Mitsuthecat123
194,caleb2112,,United States,533.9,494.3,19.6,20,6,6,3,0,0,0,0,59.71,123,https://www.speedrun.com/users/caleb2112
195,Muge,,Finland,531.15,507.29,13.86,10,3,3,2,0,0,0,0,54.8,62,https://www.speedrun.com/users/Muge
196,nickj109,,United States,528.08,479.24,28.84,20,13,13,3,0,0,1,1,73.22,90.92,https://www.speedrun.com/users/nickj109
197,Maximum,,United States,527.04,501.04,16,10,4,3,2,0,0,1,1,54.42,47,https://www.speedrun.com/users/Maximum
198,silvasispobreta,,Brazil,526.36,502.5,13.86,10,3,3,2,0,0,0,0,54.61,68.33,https://www.speedrun.com/users/silvasispobreta
199,Echon,,United States,525.74,493.11,22.63,10,8,8,2,0,0,0,0,64.39,113.63,https://www.speedrun.com/users/Echon
200,MW_65536,,Japan,525.71,501.85,13.86,10,3,3,2,0,0,3,3,48.84,7,https://www.speedrun.com/users/MW_65536
201,pumpitendo,,United States,519.01,491.12,17.89,10,5,5,2,0,1,1,4,58.99,171.2,https://www.speedrun.com/users/pumpitendo
